population,administered_substance,count
"PKDB00083 / nonobese normal (n=9; human; healthy; sex: M=5, F=4; age: mean 47 year; weight: mean 74 kilogram)","D-glucose",1
"PKDB00083 / obese igt (n=7; human; healthy; disease: impaired glucose tolerance; sex: M=2, F=5; age: mean 55 year; weight: mean 84 kilogram)","D-glucose",1
"PKDB00083 / obese normal (n=7; human; healthy; sex: M=3, F=4; age: mean 47 year; weight: mean 84 kilogram)","D-glucose",1
"PKDB00084 / all (n=17; human; healthy/not healthy; sex: M=9, F=8)","C-peptide",3
"PKDB00084 / control (n=10; human; healthy; sex: M=5, F=5; age: mean 28 year)","C-peptide",2
"PKDB00084 / t1dm (n=7; human; not healthy; disease: t1dm; sex: M=4, F=3; age: mean 20 year)","C-peptide",2
"PKDB00086 / DM_1990 (n=353; human; health NR; sex: M=162, F=191; age: mean 51.14 year; weight: mean 65.4 kilogram; ethnicity: Korean)","D-glucose",1
"PKDB00086 / DM_2000 (n=245; human; health NR; sex: M=128, F=117; age: mean 52.36 year; weight: mean 65.58 kilogram; ethnicity: Korean)","D-glucose",1
"PKDB00086 / NGT_1990 (n=127; human; health NR; sex: M=55, F=72; age: mean 41 year; weight: mean 63.33 kilogram; ethnicity: Korean)","D-glucose",1
"PKDB00086 / NGT_2000 (n=89; human; health NR; sex: M=30, F=59; age: mean 42.58 year; weight: mean 60.95 kilogram; ethnicity: Korean)","D-glucose",1
"PKDB00086 / PREDM_1990 (n=98; human; health NR; sex: M=49, F=49; age: mean 48.85 year; weight: mean 66.16 kilogram; ethnicity: Korean)","D-glucose",1
"PKDB00086 / PREDM_2000 (n=170; human; health NR; sex: M=82, F=88; age: mean 51.02 year; weight: mean 66.07 kilogram; ethnicity: Korean)","D-glucose",1
"PKDB00091 / all (n=8; human; healthy; sex: M=7, F=1; age: mean 27.3 year; weight: mean 67.9 kilogram; smoking: Y=4)","codeine",7
"PKDB00091 / all (n=8; human; healthy; sex: M=7, F=1; age: mean 27.3 year; weight: mean 67.9 kilogram; smoking: Y=4)","codeine phosphate",1
"PKDB00091 / EM (n=7; human; healthy; sex: M=7, F=1; age: mean 27.3 year; weight: mean 67.9 kilogram; smoking: Y=4)","codeine",7
"PKDB00091 / EM (n=7; human; healthy; sex: M=7, F=1; age: mean 27.3 year; weight: mean 67.9 kilogram; smoking: Y=4)","codeine phosphate",1
"PKDB00091 / EM (n=7; human; healthy; sex: M=7, F=1; age: mean 27.3 year; weight: mean 67.9 kilogram; smoking: Y=4)","dextromethorphan",1
"PKDB00091 / PM (n=1; human; healthy; sex: M=7, F=1; age: mean 27.3 year; weight: mean 67.9 kilogram; smoking: Y=4)","codeine",7
"PKDB00091 / PM (n=1; human; healthy; sex: M=7, F=1; age: mean 27.3 year; weight: mean 67.9 kilogram; smoking: Y=4)","codeine phosphate",1
"PKDB00091 / PM (n=1; human; healthy; sex: M=7, F=1; age: mean 27.3 year; weight: mean 67.9 kilogram; smoking: Y=4)","dextromethorphan",1
"PKDB00094 / all (n=19; human; healthy; sex: M=12, F=7; age: mean 34.8 year; weight: mean 78 kilogram; ethnicity: African, Caucasian, Hispanic)","codeine sulfate anhydrous",1
"PKDB00094 / all_13 (n=13; human; healthy; sex: M=12, F=7; age: mean 34.8 year; weight: mean 78 kilogram; ethnicity: African, Caucasian, Hispanic)","codeine sulfate anhydrous",2
"PKDB00094 / all_14 (n=14; human; healthy; sex: M=12, F=7; age: mean 34.8 year; weight: mean 78 kilogram; ethnicity: African, Caucasian, Hispanic)","codeine sulfate anhydrous",1
"PKDB00094 / all_16 (n=16; human; healthy; sex: M=12, F=7; age: mean 34.8 year; weight: mean 78 kilogram; ethnicity: African, Caucasian, Hispanic)","codeine sulfate anhydrous",1
"PKDB00094 / all_17 (n=17; human; healthy; sex: M=12, F=7; age: mean 34.8 year; weight: mean 78 kilogram; ethnicity: African, Caucasian, Hispanic)","codeine sulfate anhydrous",2
"PKDB00106 / Group1 (n=30; human; not healthy; disease: sickle cell disease; sex: M=9, F=21; age: mean 30 year; ethnicity: african american; CYP2D6: *other/*other, *other/*17, *other/*29, *other/*41, *17/*17)","codeine sulfate anhydrous",1
"PKDB00106 / Group2 (n=24; human; not healthy; disease: sickle cell disease; sex: M=9, F=15; age: mean 31 year; ethnicity: african american; CYP2D6: *29/*29, *other/*29, *17/*17, *other/*other, *other/*17)","codeine sulfate anhydrous",1
"PKDB00107 / all (n=17; human; health NR; sex: F=2, M=15)","codeine",1
"PKDB00107 / all (n=17; human; health NR; sex: F=2, M=15)","quinidine",1
"PKDB00107 / all (n=17; human; health NR; sex: F=2, M=15)","sparteine sulfate",1
"PKDB00112 / Caucasian (n=149; human; healthy; sex: M=67, F=82; age: mean 33 year; weight: mean 66 kilogram; ethnicity: Caucasian; smoking: N=121, Y=28)","codeine phosphate",1
"PKDB00112 / Caucasian_F (n=82; human; healthy; sex: F=82; age: mean 33 year; weight: mean 66 kilogram; ethnicity: Caucasian; smoking: N=121, Y=28)","codeine phosphate",1
"PKDB00112 / Caucasian_F_CONRTA (n=19; human; healthy; sex: F=82; age: mean 33 year; weight: mean 66 kilogram; ethnicity: Caucasian; smoking: N=121, Y=28)","codeine phosphate",1
"PKDB00112 / Caucasian_F_NONCONRTA (n=63; human; healthy; sex: F=82; age: mean 33 year; weight: mean 66 kilogram; ethnicity: Caucasian; smoking: N=121, Y=28)","codeine phosphate",1
"PKDB00112 / Caucasian_F_NONSMOKE (n=69; human; healthy; sex: F=82; age: mean 33 year; weight: mean 66 kilogram; ethnicity: Caucasian; smoking: N=69)","codeine phosphate",1
"PKDB00112 / Caucasian_F_SMOKE (n=13; human; healthy; sex: F=82; age: mean 33 year; weight: mean 66 kilogram; ethnicity: Caucasian; smoking: Y=13)","codeine phosphate",1
"PKDB00112 / Caucasian_M (n=67; human; healthy; sex: M=67; age: mean 33 year; weight: mean 66 kilogram; ethnicity: Caucasian; smoking: N=121, Y=28)","codeine phosphate",1
"PKDB00112 / Caucasian_NONSMOKE (n=121; human; healthy; sex: M=67, F=82; age: mean 33 year; weight: mean 66 kilogram; ethnicity: Caucasian; smoking: N=121)","codeine phosphate",1
"PKDB00112 / Caucasian_SMOKE (n=28; human; healthy; sex: M=67, F=82; age: mean 33 year; weight: mean 66 kilogram; ethnicity: Caucasian; smoking: Y=28)","codeine phosphate",1
"PKDB00112 / Chinese (n=133; human; healthy; sex: M=110, F=23; age: mean 38 year; weight: mean 63 kilogram; ethnicity: Chinese; smoking: N=107, Y=26)","codeine phosphate",1
"PKDB00112 / Chinese_F (n=23; human; healthy; sex: F=23; age: mean 38 year; weight: mean 63 kilogram; ethnicity: Chinese; smoking: N=23)","codeine phosphate",1
"PKDB00112 / Chinese_M (n=110; human; healthy; sex: M=110; age: mean 38 year; weight: mean 63 kilogram; ethnicity: Chinese; smoking: N=107, Y=26)","codeine phosphate",1
"PKDB00112 / Chinese_M_NONSMOKE (n=84; human; healthy; sex: M=110; age: mean 38 year; weight: mean 63 kilogram; ethnicity: Chinese; smoking: N=84)","codeine phosphate",1
"PKDB00112 / Chinese_M_SMOKE (n=26; human; healthy; sex: M=110; age: mean 38 year; weight: mean 63 kilogram; ethnicity: Chinese; smoking: Y=26)","codeine phosphate",1
"PKDB00112 / Chinese_NONSMOKE (n=107; human; healthy; sex: M=110, F=23; age: mean 38 year; weight: mean 63 kilogram; ethnicity: Chinese; smoking: N=107)","codeine phosphate",1
"PKDB00112 / Chinese_SMOKE (n=26; human; healthy; sex: M=110, F=23; age: mean 38 year; weight: mean 63 kilogram; ethnicity: Chinese; smoking: Y=26)","codeine phosphate",1
"PKDB00113 / all (n=132; human; healthy; sex: M=50, F=82; age: 15–74 year; smoking: N=93, Y=39)","codeine phosphate",1
"PKDB00113 / all_EM (n=114; human; healthy; sex: M=50, F=82; age: 15–74 year; smoking: N=93, Y=39)","codeine phosphate",1
"PKDB00113 / all_EM (n=114; human; healthy; sex: M=50, F=82; age: 15–74 year; smoking: N=93, Y=39)","debrisoquine",1
"PKDB00113 / all_PM (n=18; human; healthy; sex: M=50, F=82; age: 15–74 year; smoking: N=93, Y=39)","codeine phosphate",1
"PKDB00113 / all_PM (n=18; human; healthy; sex: M=50, F=82; age: 15–74 year; smoking: N=93, Y=39)","debrisoquine",1
"PKDB00114 / all (n=8; human; healthy; sex: M=5, F=3; age: mean 34.375 year; weight: mean 60.5 kilogram; ethnicity: Chinese; smoking: Y=1, N=7)","codeine phosphate",1
"PKDB00114 / all (n=8; human; healthy; sex: M=5, F=3; age: mean 34.375 year; weight: mean 60.5 kilogram; ethnicity: Chinese; smoking: Y=1, N=7)","debrisoquine",1
"PKDB00115 / EM_MultiDose (n=3; human; healthy; sex: NR=3; age: 27–33 year; ethnicity: Caucasian)","codeine phosphate",10
"PKDB00115 / EM_MultiDose (n=3; human; healthy; sex: NR=3; age: 27–33 year; ethnicity: Caucasian)","debrisoquine",1
"PKDB00115 / EM_SingleDose (n=8; human; healthy; sex: F=5, M=3; age: mean 33.375 year; weight: mean 66.125 kilogram; ethnicity: Caucasian)","codeine phosphate",1
"PKDB00115 / EM_SingleDose (n=8; human; healthy; sex: F=5, M=3; age: mean 33.375 year; weight: mean 66.125 kilogram; ethnicity: Caucasian)","debrisoquine",1
"PKDB00115 / PM_MultiDose (n=3; human; healthy; sex: NR=3; age: 28–41 year; ethnicity: Caucasian)","codeine phosphate",10
"PKDB00115 / PM_MultiDose (n=3; human; healthy; sex: NR=3; age: 28–41 year; ethnicity: Caucasian)","debrisoquine",1
"PKDB00115 / PM_SingleDose (n=6; human; healthy; sex: F=4, M=2; age: mean 26.127 year; weight: mean 60.413 kilogram; ethnicity: Caucasian)","codeine phosphate",1
"PKDB00115 / PM_SingleDose (n=6; human; healthy; sex: F=4, M=2; age: mean 26.127 year; weight: mean 60.413 kilogram; ethnicity: Caucasian)","debrisoquine",1
"PKDB00119 / all (n=6; human; healthy; sex: M=6; smoking: N=6)","paracetamol",3
"PKDB00121 / all (n=15; human; healthy; sex: M=10, F=5; age: mean 28 year; weight: mean 82 kilogram)","paracetamol",2
"PKDB00124 / control (n=6; human; healthy; sex: NR=12; age: 19–42 year)","paracetamol",2
"PKDB00124 / epileptic (n=6; human; not healthy; disease: epilepsy; sex: NR=12; age: 19–42 year)","paracetamol",2
"PKDB00125 / all (n=24; human; healthy; sex: M=12, F=12; age: median 26 year)","caffeine (137X)",1
"PKDB00125 / all (n=24; human; healthy; sex: M=12, F=12; age: median 26 year)","paracetamol",1
"PKDB00128 / all (n=2; human; healthy; sex: M=2)","caffeine (137X)",1
"PKDB00128 / all (n=2; human; healthy; sex: M=2)","theobromine (37X)",1
"PKDB00128 / all (n=2; human; healthy; sex: M=2)","theophylline (13X)",1
"PKDB00130 / elderly subjects (n=8; human; healthy; sex: M=16; age: mean 79.3 year; weight: mean 77.2 kilogram; smoking: N=16)","paracetamol",1
"PKDB00130 / young subjects (n=8; human; healthy; sex: M=16; age: mean 20.8 year; weight: mean 74.9 kilogram; smoking: N=16)","paracetamol",1
"PKDB00131 / elderly men (n=6; human; healthy; sex: M=6; age: mean 70.7 year; weight: 45.5–90.9 kilogram)","paracetamol",3
"PKDB00131 / elderly subjects (n=12; human; healthy; sex: M=6, F=6; age: mean 70.7 year; weight: 45.5–90.9 kilogram)","paracetamol",3
"PKDB00131 / young subjects (n=16; human; healthy; sex: M=8, F=8; age: mean 28.4 year; weight: 47.4–86.4 kilogram)","paracetamol",3
"PKDB00136 / all (n=4; human; healthy; sex: M=4)","caffeine (137X)",1
"PKDB00136 / all (n=4; human; healthy; sex: M=4)","dextromethorphan",1
"PKDB00136 / all (n=4; human; healthy; sex: M=4)","losartan",1
"PKDB00136 / all (n=4; human; healthy; sex: M=4)","midazolam",1
